Urdu,Roman
رکھو,rakho
سٹين,stain
حابٹاشن,habitation
سہارا,sahara
ویل,wel
پہنچا,ponch
کنڈی,kundi
پرائویٹ,private
آفٹر,aftr
رھے,rahe
گائز,guy
لاگ,lag
مسنگ,missing
بورنگ,borng
چھین,cheen
اکھاڑ,ukar
چاول,chawal
پکایا,pakaya
بابا,baba
الوايز,always
سوال,sawal
صد,sad
انتہا,inteha
وِد,with
گريف,grief
آم,aam
گرانڈفادر,grandfather
ہان,han
سبق,ise
کرکيٹ,cricket
بہادر,bahadur
مسائل,masaail
نکلنا,nklne
پڑنا,prna
ت,t
سيٹيرڈے,saturday
کس,kis
حلال,halaal
فون,ufone
کٹی,kitty
گھبرا,kbighbra
چٹنی,chatni
قبرستان,qabristan
جاونگا,jaaongajo
ه,hyye
یونی,uni
ایسی,aisi
ڈراپ,drop
تسلیم,tasleem
شمس,haishams1
ضروری,zaroori
اعلان,ilan
دوبارہ,dobara
واپڈا,wapda
اپن,apun
نگاہیں,nigahein
کین,can
دروغ,darogh
هي,hykabi
لپ,ljp
بیا,bia
پھنسا,phasa
انگلش,english
سٹياشن,situation
وت,wha
فول,fool
جتنے,jitne
حالات,halaat
انکليڈي,include
سہتا,sehta
یوکی,lucky
گرمی,garmi
ٹييسڈے,tuesday
دھوپ,dhoop
نگری,nagri
حوالے,hawale
بیت,beet
برے,burey
سکندر,sikandar
يس,us
9,9
سہا,sahara
نزدیک,nazdeek
کوٹ,kot
ہونا,hona
رومںٹک,romantic
گئے,gye
ڈیٹیل,details
تہمت,tohmat
ماؤں,maaon
انجواے,enjoy
گانا,gana
دیو,daiyo
ہاں,han
وهاں,wahan
لاہوری,lahoriye
با,ba
فصیح,faseeh
گوسٹ,ghost
اصغر,asghar
حملہ,hamla
عدل,gudaljesani
حير,hear
سييڈ,syed
وہی,wohi
ڈيٹ,date
کیف,kismat
پرائیویٹ,private
ہارٹ,heart
ساره,sara
اٹھایا,uthaya
السلام,asalam
پہنچ,pohanch
جنون,junoon
غرور,ghuroor
ٹورس,tauras
ٹریٹ,treat
لاس,laso
شدت,shiddat
ستمبر,sep
میری,meri
ٹم,timing
کرپشن,khatme
صب,sub
جرگہ,jarga
صوبہ,salme
خمینی,khumaini
کرکٹ,cricket
ٹاورنامنٹ,tournament
شپ,shap
ہنی,honey
ہونی,honey
ڈوبتے,doobte
آوٹ,out
پنک,punkxx
یارر,yar
سمن,saman1
ایران,iran
حق,huq
اڑی,ari
ہهو,hon
اسنے,usne
گلہ,gila
ربیکا,rabica
انٹرسٹد,interested
مہنگائی,mehngai
ياونگ,young
شدید,shadeed
جدائی,judai
توجہ,cncrtrate
اکسيس,access
مررید,married
ہزاروں,mashghalay
کمانڈ,command
مات,maat
کويسشن,question
پہ,pe
پحيسکال,physical
بوند,boond
ميمون,memon
پهلا,phela
پوزیشن,position
ون,one
شہرت,shuhrat
روکی,roki
بیچارے,bichare
دہلیز,dehleez
بائیک,bike
کھلی,kholi
پیسوں,paiso
بکھری,bikhri
ٹارچ,torch
مارري,marry
بین,behn
امن,ma
شخص,shakhs
پنگا,panga
جدو,jado
ہرٹ,hurt
پوچھتے,pochty
بیٹے,bety
جانتا,janta
مسلّز,muscles
ھوگا,hoga
گزرا,guzra
ٹھوکروں,thkron
بیبی,bibi
چنو,chuno
ار,vania
ياحيا,yahya
دیا,dia
کپڑے,kapre
پنشوں,pension
زہ,za
دادی,dadi
میسجج,msg
پیو,pio
بورن,born2love
حو,ho
ٹھنڈی,thandi
فائدہ,faida
شادی,shadi
عمل,amal
انجیرننگ,engineering
پیتے,peety
فٔٹ,fight
رهی,rhi
مریں,maray
اثر,asar
میرے,mere
پین,0000fun(ghazal)pen
ماضی,maazi
چانس,chance
بلوچ,baloch
بے,be
کھو,kho
ميٹ,meet
ر,r
تھرسٹ,thirst
ید,yad
ستا,sta
پڑتی,parti
جوي,joy
چاشنی,chashni
تیاریاں,tayarun
ڈيتھ,death
شعبان,shabnam
انوگف,enough
التجا,iltija
کينٹري,country
يٹٹراسٹٔو,attractive
ڈان,don
بندے,bande
ان,un
بروتھر,brother
ے,ye
رین,never
کہانی,kahani
ہارنے,harnay
شارق,shariq
اطاعت,itaa'at
زرا,zara
فرات,faraat
نقصان,nuqsan
بتاوں,btaon
نامہ,nama
6,6
نسبت,nisbat
خشبو,khushbo
بسانا,basana
کہن,khan
مونڈے,monday
رنگت,zarad
برفی,barfee
بیہودہ,behoda
کوم,com
ہیٹ,het
اشيس,ashes
رحمت,ra
آرہی,a
مورخہ,morkha
مسےوز,misuse
تسی,tusi
شعروشاعری,shaairi
بلند,buland
للہ,bismillah
بجتی,bajti
ھاتھ,hath
جاری,jari
شہر,shehar
تقاضوں,taqazoon
مہندی,mehndi
انسان,insan
تفصیل,detail
ممبروں,membro
ريميمبير,remember
30,30
اترنے,usaysagar
گولی,goli
سنار,sinar
کھلتے,khiltay
نئور,never
توڑنے,torny
جانياري,january
ارشاد,arshad
فقیروں,faqiron
لالی,lali
مدت,mudat
صائم,saim
نیٹ,net
سٹانڈ,stand
پھول,phool
فالو,follow
ٹهندر,thunder
فورس,force
سمول,small
ٹھنڈا,thanda
حبیب,habibjaan
مدیحہ,madiha
مارتے,marty
جیتنے,jety
اکسيپٹانس,acceptance
واپس,wapis
عزاب,azab
تھکن,thakan
ڈیوٹی,dute
ہاہا,hahahahahaha
جینے,jeene
سڑکوں,sarkon
پے,pe
لیٹ,late
شریف,shareef
وعدوں,vaadon
ایکسپریس,express
صحابہ,sahaba
ج,jaan
اکیلے,akele
ڈو,do
آجاؤ,ajao
وپپريسون,oppression
خلاد,khiladi
خاکی,khake
ہاته,hath
شاخوں,shakhoon
کوکو,koko
حفاظت,hifazat
تفری,tafre
سوچے,s0chay
ماد,maad
اِنٹرو,intro
کتابوں,kitabon
گے,gay
کپتان,capton
پیچھے,peche
جوف,jauf
لڑکی,larki
تعریفیں,tarefen
چہرہ,chehra
وال,sanwal
جوتے,jotey
مال,maat
ذيرو,zero
حورسي,horse
سأو,save
عشا,esha
فر,fir
کروانا,krwana
سکي,sky
جتنا,jitna
ناواقف,nawaqif
انھیں,unhain
رومیٹک,romantic
بیٹھو,betho
کردو,krdo
کبوتر,kabotar
چھوڑ,chor
روتا,rota
رشک,rashk
ارے,ary
انے,aane
موجود,mojood
اوبیڈی,e
گاوں,gaaon
کوپی,copy
گھوڑ,ghor
اطلاع,itla
پل,pal
غير,ghair
بوڈی,body
ہوش,hushe
بڑی,bari
ساجن,sajan
واقعی,waqai
مسالا,masala
ٹکڑا,tukara
منکر,munkir
مٹھا,mutha
نائب,naib
بلیم,blame
رکھتی,rakhti
سینما,cinema
پؤئٹری,poetry
بابر,baber
دونٹ,dont
دعوا,dawaa
شروع,shuru
رس,letilarke
آدھی,adhi
بولیں,bolen
حئون,heaven
رھا,raha
فونز,funz
تاڑ,taar
حمو,humor
بننا,banna
دکھانے,dikhane
گريس,grace
احمر,ahmar
بڑے,bary
سندھ,farazsindhi
پنجاب,punjab
سینگ,seng
قادری,qaadri
اصل,asal
ڈینجر,danger
يوز,use
میں,main
کروائی,krwai
وابسطہ,wabasta
گوم,gum
دیرا,dera
انگور,angoor
ارین,aryan
فاروقی,z@¤firaq1
وجہ,waja
آس,aas
ہمدرد,humdard
مسکت,mscit
ضرور,zarur
بریانی,baryani
بوکس,books4
اسپيک,speak
بدل,badal
مچ,match
لکھے,leky
پھیلائی,pelai
سونیا,sonia
اللاه,allah
رہتا,rehta
تیز,taiz
طاہر,tahir
فریب,fareb
دینی,deni
حد,had
اجاڑ,ujar
نیچر,neture
پتے,pattay
ٹوٹتی,ti
ے,ye
آہستہ,ahista
فيس,face
ملوث,mulawis
۱۲۲,122
ياونگ,young
بستی,bus
پیپر,paper
ہٹ,hat
دھمکیاں,dhamkian
حنک,thank
منگل,mangal
پؤئٹری,poetry
بزرگ,buzarg
گر,gir
ٹوف,tough
بالکل,blkul
وصال,wisaal
محفل,mehfil
پرفامنس,performance
انفارمیشن,infomation
يناؤ,enough
غائب,gaib
مکر,mukar
کناروں,kinare
غصے,gusa
جملہ,jumla
بد,badal
سئون,seven
پل,pal
تسلی,tasalli
اعظم,azam
خستہ,khasta
ادہ,ado
منہ,moun
کیدو,frndskidunya
اسپيس,space
زرارت,ziarat
ویز,nywayx
نقل,naqal
علی(رض,ra
کلام,kalaam
وائف,wife
حينجر,hunger
سلان,salman
راج,loveurajj
ہوئے,huy
مسلسل,musalsal
فرشتوں,thafarishton
حملہ,hamla
مسلّز,muscles
صحابہ,sahaba
فنی,funny
نہ,na
نشہ,nasha
تھکن,thakan
ايک,aik
٢٣,atif23
وسط,twist2q
تر,tara
حضرت,hazrat
هایپر,hyper
بچہ,bacha
مٹی,mitti
حکيم,hakeem
فاصلہ,faasla
فتح,fatah
نیچر,neture
ڈيٹ,date
مپرؤو,improve
سپیس,space
سمن,saman1
ابھی,abi
بکھر,bikhar
بن,ban
لیک,loverzlyke
سکندر,sikandar
فرح,farah
ہر,har
اررانجمنٹ,arrangement
نکلتے,nikalty
ٹاؤ,tough
رہنے,rehny
پروگرام,prng
قسمآی,kasam
شغل,shugal
صب,sub
یاب,kamyam
سأو,save
تحفہ,tohfa
آوارہ,awaraboyz
اسوقت,he
ہمّت,himmat
فیئر,fear
باےکرنے,bye
پرائویٹ,private
تیاریاں,tayarun
چھٹی,chutti
کلر,kiler
فل,ful
گيم,game
یوراج,loveurajj
کنٹرول,cntr0l
نائب,naib
سرنگ,sarang
یکسر,yaksar
فاینڈ,find
وجہ,waja
تیگ,tag
ڈرایئور,driver
سمجھتے,samjtay
موباءل,mobile
مائ,my
نمبرز,number
کل,kal
۴۰,40
بلند,buland
ٹیک,take
ٹراوسيرس,trousers
منکر,munkir
نقوی,nqvi
حق,huq
گريس,grace
دیجئے,dijiye
چھین,cheen
اینڈ,and
بڑے,bary
رپلاءی,reply
گلہ,gila
جوکز,jokes
ٹيگ,tag
حد,had
نيم,name
مسیج,msg
بندر,bandar
انوائٹ,invite
مکوڑے,makory
لگ,lag
دِل,dil
کرن,kiran
جڑ,jarr
خشک,khushi
رفیق,rafaqatainye
بدن,ba'din
فریبڈ,friend
انڈودوال,individual
نمبرپر,number
جاب,jok
چلانا,chalna
ہیکر,shikaryr
بر,bar
سٹياشن,situation
سنسر,sincere
فجر,fajar
اپک,pak
ملکہ,malika1hahaha
سائے,saye
ٹم,timing
عینی6,sani
حابٹاشن,habitation
پھٹان,pathan
ذریعے,zariyhe
صائم,saim
دن,din
گھبرا,kbighbra
انوولو,involve
بليم,blame
کیف,kismat
اِن,in
ستمبر,sep
چہرہ,chehra
بیشک,be¤hak
مانسرہ,mansehra
مچھلی,machli
پاسز,pases
سندھ,farazsindhi
ڈینجر,danger
مجہمیں,me
کس,kis
گز,gaz
گَپ,gap
خواہشات,hainaurkhwahishat
پيٹشن,petition
پھنسا,phasa
بہنوں,behn0n
اکھاڑ,ukar
طریقہ,tariqa
مدت,mudat
الي,ali
شعروشاعری,shaairi
پھینک,pehnk
ہهو,hon
طرفہ,tarafa
پہنچا,ponch
کدر,kadar
ہنر,hunar
خين,khan
اساسن,assassin
وہ,wo
مائے,my
مسٹر,mr
اِس,is
بهئی,bhai
زہر,zehar
لوين,loan
مٹ,mit
یاسمین,yesmanhi
آیتٹڈ,attend
سوائے,siwae
بائے,bye
فو,itfun
بدلہ,badla
جگر,jigar
اباوٹ,about
مشورہ,mashwara
ببیز,babies
روکتا,rota
چھپے,chhupy
فاروقی,z@¤firaq1
سوئیں,soin
کین,can
انوأٹ,invite
۱۶۰,160
رکھنے,rakhy
واپسی,wpsi
کنوليڈج,knowledge
مسےوز,misuse
ڈکٹر,doctor
پہر,pehar
سلیک,lvrslyk
دفن,dafan
ریکوۓسٹ,request
چیٹنگ,chating
شاوٹ,shout
ریپرسنتتیز,representative
اککساشن,accusation
نظر,nazar
امتحان,exam
حئون,heaven
پڑھائی,parhai
فنکشن,function
سیکشن,section4
پیور,pure
مسائل,masaail
شرمندہ,sharminda
ٹھوکروں,thkron
ڈیٹ,date
رہبر,rahbar
اعلان,ilan
چھوتی,chutti
مڑ,mur
شدت,shiddat
نبمر,number
بستر,bistar
ريس,race
پچھلی,pichli
پوٹرے,poetry
بلایا,haibulaya
سیو,save
رسک,rax
مزہ,mza
غزل,ghazal
سر,sar
موو,move
يوز,use
صحن,sehan
کمینہ,kamina
عالیہ,alyia
خشیاں,terakhushian
علوی,alvi
عابد,abid
ملاحظہ,mulahiza
سبق,ise
صدیاں,sadayein
ہمسفر,humsafar
کھدائی,khudai
عنایت,si
حمزہ,hamza
کٹی,kitty
حم,him
گلابان,gulistan
مدينہ,madina
گھومنے,guhmne
پولائیٹ,polite
فلاور,flower
ڈان,don
حلال,halaal
پوچھتے,pochty
جناح,jinnah
بگذ,bugs
امریکا,usa
گرلز,girls
سٹیٹس,stats
موبائل,mobile
دسمبر,december
قدر,qadar
چھوڑنا,chorna
میسج,msg
پھنسانے,phasane
بائیک,bike
ڈراپ,drop
کلئور,clever
تهیت,tek
ارمانی,aw
کويسشن,question
چمک,chamak
ڈريسشن,direction
بورهتر,brother
دیک,dil
ابؤو,above
جم,jamhazaron
تمنا,tamana
کھیو,kahiyo
گرانڈمودر,grandmother
لیونگ,leavng
مسنگ,missing
ہوی,th
بلیم,blame
چینج,change
السلام,asalam
صدیق,siddique
ضامن,zaamin
پوچھنا,puchna
ڈھلنے,dhundley
کیڑے,gooshtkeere
سازو,chara§sazo
دائر,dair
جرگہ,jarga
بدل,badal
کمنگ,upcoming
رمضان,rum
شیم,shame
ٹکڑا,tukara
پرائیویٹ,private
اسیر,espnstaraseer
جدائی,judai
گئے,gye
ارے,ary
نوے,nawway
مئی,may
پلٹ,palat
میسیج,msg
اسسے,use
جگہ,jaga
مالک,maalik
پہ,pe
اگست,august
کھلاؤں,kay
مال,maat
پردہ,parda
گزر,guzar
روتے,roye
کثرت,kasrat
ماوتھ,mouth
صف,saf
فتویٰ,ftawa
اہل,all
امسالو,ha
زار,bezaar
رائیٹ,rit
سيرٔور,server
جل,jal
ايذي,easy
وال,sanwal
یونی,uni
قبر,qabar
مریں,maray
فلک,falak
عقبہ,aqbanhi
ٹکڑے,tukry
گروانڈ,ground
شہر,shehar
حیان,shayan
شاپ,shop
آسٹریلیا,australiya
رومیٹک,romantic
لگاتا,lagta
زاد,zaat
ٹھاک,thaam
سُن,sun
مام,mom
قسمت,qismat
راۓ,rai
حوالہ,hawala
دلک,dil
فلے,fly
ڈیوٹی,dute
ناؤ,now
لپ,ljp
جنھیں,gh„z†l>£=jinhain
گائز,guy
ٹریکس,tracks
مچ,match
لیبل,label
قحط,qehat
یہ,ye
ااچھے,ache
رجب,rajab
لکھے,leky
چیگ,change
زمہ,zama
یوح,yon
ترس,taras
مدیحہ,madiha
آۓ,aye
سمول,small
نگر,nagaras
ظفر,zafar
چھپا,chupa
زہ,za
مءی,may
ڈیدیکیٹ,dedicated
ڈالنا,matdalnablkymasjid
قتل,qatal
جدھر,jidhar
بتائیں,bataen
ناٹ,nt
اانہ,enter
ایکسیپت,except
تہمت,tohmat
مانے,mainy
چھوڑ,chor
ستم,sitam
ھے,hy
شمس,haishams1
نظم,nazim
فائدہ,faida
کپتان,capton
میوذک,music
ہیپی,happy
حصہ,hissa
رحمت,ra
عادل,adil
سنٹر,center
سٹک,lipstick
حمد,allhamdo
انسین,insane
جھلک,jhalak
نفرت,nafrat
باکس,box
متحد,muttahid
نئور,never
استعمال,istemal
گرانڈفادر,grandfather
بہن,behan
ایبیوز,abuse
بھٹی,aabhati
کمینے,kamina
کوٹہ,quota
ایرےا,area
فر,fir
ید,yad
چیٹ,chat
کرکٹ,cricket
اینجل,angel
میسجج,msg
ماں,maa
اچھلنا,uchalna
للہ,bismillah
عید,eid
پکڑا,pakda
گاڈ,god
سنائیں,sunaen
فوٹبول,football
امن,ma
مٹھائی,mathai
وت,wha
مدار,madaar
هاکي,hockey
چه,cherry
پن,pan
پڑھتے,pharta
پکڑ,pakar
بلے,baly
نسبت,nisbat
لیٹ,late
آرگؤ,argue
چوز,chose
صد,sad
خلل,khalal
لگاتے,lagaty
فرات,faraat
ایڈمن,admin
بسنے,basny
نہيں,ni
پکستی,pakistani
سوئے,soe
چھوٹ,chot
نیم,name
صم,sum
پوچھوں,pochon
نکل,nikal
جتایا,ehsaanjataya
حلوہ,halwa
رپلاے,reply
اينسوير,answer
شیطان,karnakemanshaitan
گڈ,good
سک,sak007
دکان,dukaan
جیتیں,jeetege4ndshpland
فرمائیں,frmaenge
فائر,fire
ايدر,either
لگن,logun
ہوئی,hui
لگنے,lagny
سم,sim
میل,male
روئے,roye
انجل,angel
نائس,nice
سکهر,sukkur
گم,gum
قطر,qatar
اذیت,azziyati
مہک,mahikm
شئیر,shear
پاساج,passage
هیو,have
انٹی,itni
فائدے,faiday
سیچرڈے,sat
موم,maa
پلس,starplus
وفائی,bewafai
سنے,sony
شکل,shakal
رپلائی,reply
پليس,place
بہانہ,bahana
سبکو,sub
روو,roopa
چھوڑے,chory
آرہے,oupar
فرینڈ,frnd
رائن,rain1
لگانے,lagny
تصور,tasawur
لوؤر,lover
دہ,da
ترے,tery
حادثہ,sehma
گرہوں,jigar
تومجھے,tujhe
آباد,islamabad
طہ,te
جد,sajid
ہوائیں,hawaen
ڈرل,darul
ہاؤس,house
بچانے,bachny
ایزی,easy
ہوجانے,hojaye
چھولے,cholay
ٹاءیم,time
فورجٹ,forget
عرشہ,hai
ماجِد,majid
قاءم,qaim
بلکل,bilkul
مؤو,move
پر,par
علامہ,allama
گۓ,gye
لکی,lucky
رسیو,receive
حکم,hukum
جس,jis
عاصمہ,asma
کدہ,kda
چھو,choo
حئٹ,height
نالائق,nalayaqlog
کمرھ,kamra
بجھ,nebujh
بردار,bro
صدر,saddar
نعمان,noman
ایکسپت,accept
طاقت,taaqat
